NTC,NTCPCRcontrol,NA,control,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
HD4379-S17,HD4379-S17,plots5_samples20,sample,0,0,NA,1,EU1,2020,2017,3,>3,3to4,SODtrt,SODtrt,1,3,42.32142,-124.40442,1,1,NA,NA,NA
HD4379-S18,HD4379-S18,plots5_samples20,sample,0,0,NA,1,EU1,2020,2017,3,>3,3to4,SODtrt,SODtrt,1,3,42.32142,-124.40442,1,1,NA,NA,NA
HD4379-S19,HD4379-S19,plots5_samples20,sample,0,0,NA,1,EU1,2020,2017,3,>3,3to4,SODtrt,SODtrt,1,3,42.32142,-124.40442,1,1,NA,NA,NA
HD4379-S2,HD4379-S2,plots5_samples20,sample,0,0,NA,1,EU1,2020,2017,3,>3,3to4,SODtrt,SODtrt,1,3,42.32142,-124.40442,1,1,NA,NA,NA
HD4379-S20,HD4379-S20,plots5_samples20,sample,0,0,NA,1,EU1,2020,2017,3,>3,3to4,SODtrt,SODtrt,1,3,42.32142,-124.40442,1,1,NA,NA,NA
HD4379-S3,HD4379-S3,plots5_samples20,sample,0,0,NA,1,EU1,2020,2017,3,>3,3to4,SODtrt,SODtrt,1,3,42.32142,-124.40442,1,1,NA,NA,NA
HD4379-S4,HD4379-S4,plots5_samples20,sample,0,0,NA,1,EU1,2020,2017,3,>3,3to4,SODtrt,SODtrt,1,3,42.32142,-124.40442,1,1,NA,NA,NA
HD4379-S5,HD4379-S5,plots5_samples20,sample,0,0,NA,1,EU1,2020,2017,3,>3,3to4,SODtrt,SODtrt,1,3,42.32142,-124.40442,1,1,NA,NA,NA
HD4379-S6,HD4379-S6,plots5_samples20,sample,0,0,NA,1,EU1,2020,2017,3,>3,3to4,SODtrt,SODtrt,1,3,42.32142,-124.40442,1,1,NA,NA,NA
HD4379-S7,HD4379-S7,plots5_samples20,sample,0,0,NA,1,EU1,2020,2017,3,>3,3to4,SODtrt,SODtrt,1,3,42.32142,-124.40442,1,1,NA,NA,NA
HD4379-S8,HD4379-S8,plots5_samples20,sample,0,0,NA,1,EU1,2020,2017,3,>3,3to4,SODtrt,SODtrt,1,3,42.32142,-124.40442,1,1,NA,NA,NA
HD4379-S9,HD4379-S9,plots5_samples20,sample,0,0,NA,1,EU1,2020,2017,3,>3,3to4,SODtrt,SODtrt,1,3,42.32142,-124.40442,1,1,NA,NA,NA
HD4380-S1,HD4380-S1,basetree_100plots,sample,1,0,NA,1,EU1,2020,2019,1,<3,1to2,SODtrt,SODtrt,1,1,42.33895,-124.4087,1,1,NA,NA,NA
HD4381-S1,HD4381-S1,basetree_100plots,sample,1,0,NA,1,EU1,2020,2018,2,<3,1to2,SODtrt,SODtrt,1,2,42.33172,-124.3946,0,0,NA,NA,NA
HD4382-S1,HD4382-S1,basetree_100plots,sample,1,1,post,1,EU1,2020,2019,1,<3,1to2,SODtrt,SODtrt,1,1,42.3536,-124.40678,0,1,NA,NA,NA
HD4383-S1,HD4383-S1,basetree_100plots,sample,1,1,post,1,EU1,2020,2018,2,<3,1to2,SODtrt,SODtrt,1,2,42.297,-124.38137,0,0,NA,NA,NA
HD4384-S1,HD4384-S1,basetree_100plots,sample,1,1,post,1,EU1,2020,2018,2,<3,1to2,SODtrt,SODtrt,1,2,42.29542,-124.38308,0,0,NA,NA,NA
HD4385-S1,HD4385-S1,basetree_100plots,sample,1,0,NA,1,EU1,2020,2017,3,>3,3to4,SODtrt,SODtrt,1,3,42.3103,-124.39847,0,0,NA,NA,NA
HD4386-S1,HD4386-S1,basetree_100plots,sample,1,0,NA,1,EU1,2020,2018,2,<3,1to2,SODtrt,SODtrt,1,2,42.33622,-124.35783,1,0,NA,NA,NA
HD4387-S1,HD4387-S1,basetree_100plots,sample,1,0,NA,1,EU1,2020,2018,2,<3,1to2,SODtrt,SODtrt,1,2,42.33622,-124.35761,1,1,NA,NA,NA
HD4388-S1,HD4388-S1,basetree_100plots,sample,1,1,post,1,EU1,2020,2019,1,<3,1to2,SODtrt,SODtrt,1,1,42.29096,-124.38458,0,0,NA,NA,NA
HD4389-S1,HD4389-S1,basetree_100plots,sample,1,0,NA,1,EU1,2020,2018,2,<3,1to2,SODtrt,SODtrt,1,2,42.34534,-124.41411,0,0,NA,NA,NA
HD4390-S1,HD4390-S1,basetree_100plots,sample,1,0,NA,1,EU1,2020,2018,2,<3,1to2,SODtrt,SODtrt,1,2,42.33229,-124.38386,1,0,NA,NA,NA
HD4390trim-S1,HD4390-S1,basetree_100plots,sample,1,0,NA,1,EU1,2020,2018,2,<3,1to2,SODtrt,SODtrt,1,2,42.33229,-124.38386,1,0,NA,NA,NA
HD4391-S1,HD4391-S1,basetree_100plots,sample,1,0,NA,1,EU1,2020,2017,3,>3,3to4,SODtrt,SODtrt,1,3,42.32713,-124.40679,0,0,NA,NA,NA
HD4392-S1,HD4392-S1,basetree_100plots,sample,1,0,NA,1,EU1,2020,2017,3,>3,3to4,SODtrt,SODtrt,1,3,42.30636,-124.40015,0,0,NA,NA,NA
HD4396-S1,HD4396-S1,basetree_100plots,sample,1,0,NA,1,EU1,2020,2018,2,<3,1to2,SODtrt,SODtrt,1,2,42.33277,-124.38366,1,0,NA,NA,NA
HD4397-S10,HD4397-S10,plots5_samples20,sample,0,0,NA,1,EU1,2020,2019,1,<3,1to2,SODtrt,SODtrt,1,1,42.331949,-124.402473,0,0,NA,NA,NA
HD4397-S11,HD4397-S11,plots5_samples20,sample,0,0,NA,1,EU1,2020,2019,1,<3,1to2,SODtrt,SODtrt,1,1,42.331949,-124.402473,0,0,NA,NA,NA
HD4397-S112_16,HD4397-S1-12_16,plots5_samples20,sample,0,0,NA,1,EU1,2020,2019,1,<3,1to2,SODtrt,SODtrt,1,1,42.331949,-124.402473,0,0,NA,NA,NA
HD4397-S112_6,HD4397-S1-12_6,basetree_100plots,sample,1,1,post,1,EU1,2020,2019,1,<3,1to2,SODtrt,SODtrt,1,1,42.331949,-124.402473,0,0,NA,NA,NA
HD4397-S12,HD4397-S12,plots5_samples20,sample,0,0,NA,1,EU1,2020,2019,1,<3,1to2,SODtrt,SODtrt,1,1,42.331949,-124.402473,0,0,NA,NA,NA
HD4397-S13,HD4397-S13,plots5_samples20,sample,0,0,NA,1,EU1,2020,2019,1,<3,1to2,SODtrt,SODtrt,1,1,42.331949,-124.402473,0,0,NA,NA,NA
HD4397-S14,HD4397-S14,plots5_samples20,sample,0,0,NA,1,EU1,2020,2019,1,<3,1to2,SODtrt,SODtrt,1,1,42.331949,-124.402473,0,0,NA,NA,NA
HD4397-S15,HD4397-S15,plots5_samples20,sample,0,0,NA,1,EU1,2020,2019,1,<3,1to2,SODtrt,SODtrt,1,1,42.331949,-124.402473,0,0,NA,NA,NA
HD4397-S16,HD4397-S16,plots5_samples20,sample,0,0,NA,1,EU1,2020,2019,1,<3,1to2,SODtrt,SODtrt,1,1,42.331949,-124.402473,0,0,NA,NA,NA
HD4397-S17,HD4397-S17,plots5_samples20,sample,0,0,NA,1,EU1,2020,2019,1,<3,1to2,SODtrt,SODtrt,1,1,42.331949,-124.402473,0,0,NA,NA,NA
HD4397-S18,HD4397-S18,plots5_samples20,sample,0,0,NA,1,EU1,2020,2019,1,<3,1to2,SODtrt,SODtrt,1,1,42.331949,-124.402473,0,0,NA,NA,NA
HD4397-S19,HD4397-S19,plots5_samples20,sample,0,0,NA,1,EU1,2020,2019,1,<3,1to2,SODtrt,SODtrt,1,1,42.331949,-124.402473,0,0,NA,NA,NA
HD4397-S2,HD4397-S2,plots5_samples20,sample,0,0,NA,1,EU1,2020,2019,1,<3,1to2,SODtrt,SODtrt,1,1,42.331949,-124.402473,0,0,NA,NA,NA
HD4397-S20,HD4397-S20,plots5_samples20,sample,0,0,NA,1,EU1,2020,2019,1,<3,1to2,SODtrt,SODtrt,1,1,42.331949,-124.402473,0,0,NA,NA,NA
HD4397-S3,HD4397-S3,plots5_samples20,sample,0,0,NA,1,EU1,2020,2019,1,<3,1to2,SODtrt,SODtrt,1,1,42.331949,-124.402473,0,0,NA,NA,NA
HD4397-S4,HD4397-S4,plots5_samples20,sample,0,0,NA,1,EU1,2020,2019,1,<3,1to2,SODtrt,SODtrt,1,1,42.331949,-124.402473,0,0,NA,NA,NA
HD4397-S5,HD4397-S5,plots5_samples20,sample,0,0,NA,1,EU1,2020,2019,1,<3,1to2,SODtrt,SODtrt,1,1,42.331949,-124.402473,0,0,NA,NA,NA
HD4397-S6,HD4397-S6,plots5_samples20,sample,0,0,NA,1,EU1,2020,2019,1,<3,1to2,SODtrt,SODtrt,1,1,42.331949,-124.402473,0,0,NA,NA,NA
HD4397-S7,HD4397-S7,plots5_samples20,sample,0,0,NA,1,EU1,2020,2019,1,<3,1to2,SODtrt,SODtrt,1,1,42.331949,-124.402473,0,0,NA,NA,NA
HD4397-S812_23,HD4397-S812_23,plots5_samples20,sample,0,0,NA,1,EU1,2020,2019,1,<3,1to2,SODtrt,SODtrt,1,1,42.331949,-124.402473,0,0,NA,NA,NA
HD4397-S9,HD4397-S9,plots5_samples20,sample,0,0,NA,1,EU1,2020,2019,1,<3,1to2,SODtrt,SODtrt,1,1,42.331949,-124.402473,0,0,NA,NA,NA
HD4397trim-S15,HD4397-S9,plots5_samples20,sample,0,0,NA,1,EU1,2020,2019,1,<3,1to2,SODtrt,SODtrt,1,1,42.331949,-124.402473,0,0,NA,NA,NA
HD4398-S1,HD4398-S1,basetree_100plots,sample,1,1,post,1,EU1,2020,2019,1,<3,1to2,SODtrt,SODtrt,1,1,42.333081,-124.400605,0,0,NA,NA,NA
HD4399-S1,HD4399-S1,basetree_100plots,sample,1,1,post,1,EU1,2020,2019,1,<3,1to2,SODtrt,SODtrt,1,1,42.334215,-124.40015,0,0,NA,NA,NA
10gEP114,10gEP114,ebba,sample,0,0,NA,0,uninfested,2021,9999,untreated,untreated,untreated,unburned,untreated,0,unburned,42.151841,-124.281402,0,0,NA,NA,NA
10gHD4371,10gHD4371,10g,sample,0,0,NA,0,uninfested,2019,9999,untreated,untreated,untreated,unburned,untreated,0,unburned,42.49711,-124.29369,0,0,NA,NA,NA
114-2152-PSME,114-2152-PSME,ebba,sample,0,0,NA,0,uninfested,2021,9999,untreated,untreated,untreated,unburned,untreated,0,unburned,42.151841,-124.281402,0,0,NA,NA,NA
114-2164-PSME,114-2164-PSME,ebba,sample,0,0,NA,0,uninfested,2021,9999,untreated,untreated,untreated,unburned,untreated,0,unburned,42.151841,-124.281402,0,0,NA,NA,NA
114-2170-4-NODE3,114-2170-4-NODE3,ebba,sample,0,0,NA,0,uninfested,2021,9999,untreated,untreated,untreated,unburned,untreated,0,unburned,42.151841,-124.281402,0,0,NA,NA,NA
114-2177-1-NODE3,114-2177-1-NODE3,ebba,sample,0,0,NA,0,uninfested,2021,9999,untreated,untreated,untreated,unburned,untreated,0,unburned,42.151841,-124.281402,0,0,NA,NA,NA
114-2191-1-ARME,114-2191-1-ARME,ebba,sample,0,0,NA,0,uninfested,2021,9999,untreated,untreated,untreated,unburned,untreated,0,unburned,42.151841,-124.281402,0,0,NA,NA,NA
114-2203-1-NODE3,114-2203-1-NODE3,ebba,sample,0,0,NA,0,uninfested,2021,9999,untreated,untreated,untreated,unburned,untreated,0,unburned,42.151841,-124.281402,0,0,NA,NA,NA
114-2211-2-NODE3,114-2211-2-NODE3,ebba,sample,0,0,NA,0,uninfested,2021,9999,untreated,untreated,untreated,unburned,untreated,0,unburned,42.151841,-124.281402,0,0,NA,NA,NA
114-2228-2-ARME,114-2228-2-ARME,ebba,sample,0,0,NA,0,uninfested,2021,9999,untreated,untreated,untreated,unburned,untreated,0,unburned,42.151841,-124.281402,0,0,NA,NA,NA
114-2237-PSME,114-2237-PSME,ebba,sample,0,0,NA,0,uninfested,2021,9999,untreated,untreated,untreated,unburned,untreated,0,unburned,42.151841,-124.281402,0,0,NA,NA,NA
114-2277-NODE3,114-2277-NODE3,ebba,sample,0,0,NA,0,uninfested,2021,9999,untreated,untreated,untreated,unburned,untreated,0,unburned,42.151841,-124.281402,0,0,NA,NA,NA
114-center-rebar,114-center-rebar,ebba,sample,0,0,NA,0,uninfested,2021,9999,untreated,untreated,untreated,unburned,untreated,0,unburned,42.151841,-124.281402,0,0,NA,NA,NA
114-east-rebar,114-east-rebar,ebba,sample,0,0,NA,0,uninfested,2021,9999,untreated,untreated,untreated,unburned,untreated,0,unburned,42.151841,-124.281402,0,0,NA,NA,NA
114-north-rebar,114-north-rebar,ebba,sample,0,0,NA,0,uninfested,2021,9999,untreated,untreated,untreated,unburned,untreated,0,unburned,42.151841,-124.281402,0,0,NA,NA,NA
114-south-rebar,114-south-rebar,ebba,sample,0,0,NA,0,uninfested,2021,9999,untreated,untreated,untreated,unburned,untreated,0,unburned,42.151841,-124.281402,0,0,NA,NA,NA
114-west-rebar,114-west-rebar,ebba,sample,0,0,NA,0,uninfested,2021,9999,untreated,untreated,untreated,unburned,untreated,0,unburned,42.151841,-124.281402,0,0,NA,NA,NA
