"YrSinceTrt_BR","Genus","Mean_Relative_Abundance","Standard_Deviation","Standard_Error","Sample_Size","Prevalence_Percent"
"5 to 8","Alicyclobacillus",0.00990744089618803,0.0135921604051793,0.00513735374460046,7,71.4285714285714
"5 to 8","Sphingomonas",0.00937986455911426,0.00736752096992971,0.00278466118078391,7,85.7142857142857
"5 to 8","MND1",0.00889940232304233,0.0129155777114209,0.00488162952330691,7,85.7142857142857
"5 to 8","ADurb.Bin063-1",0.00887426352128892,0.00940757665908838,0.00355572975424625,7,71.4285714285714
"5 to 8","Phenylobacterium",0.00768107363916336,0.00619675214042543,0.0023421521571247,7,71.4285714285714
"5 to 8","Edaphobaculum",0.0071524108317706,0.00400778437638089,0.00151480010975342,7,100
"10 to 12","Candidatus Udaeobacter",0.195297862112586,0.114280651454125,0.0431940262020095,7,100
"10 to 12","Bradyrhizobium",0.058230399879603,0.0198137140603749,0.00748887999318513,7,100
"10 to 12","Acidothermus",0.0453313121496879,0.0287586027256989,0.0108697301237005,7,85.7142857142857
"10 to 12","Candidatus Xiphinematobacter",0.0399909594587324,0.0220156523592626,0.00832113444192305,7,100
"10 to 12","Conexibacter",0.0348690787361375,0.0341018266279763,0.0128892789300951,7,85.7142857142857
"10 to 12","Other",0.0310393233834434,NA,NA,NA,NA
"10 to 12","Roseiarcus",0.0282920039690959,0.0181105956347849,0.00684516173498467,7,85.7142857142857
"10 to 12","Acidibacter",0.0261401280583518,0.0157092893573725,0.00593755327330876,7,100
"10 to 12","Haliangium",0.0249463132991338,0.0127633489453617,0.00482409245796652,7,100
"10 to 12","Methylocapsa",0.0248277931083686,0.00967497994947556,0.00365679869797837,7,100
"10 to 12","Mycobacterium",0.0216894089444619,0.0144428097940949,0.0054588689925976,7,100
"10 to 12","MND1",0.0207751429152974,0.0315749184824555,0.0119341974245306,7,100
"10 to 12","Bryobacter",0.0188815813520237,0.00738773158932398,0.00279230007689246,7,100
"10 to 12","Granulicella",0.017534925991263,0.0114912385461134,0.00434327992130509,7,85.7142857142857
"10 to 12","Candidatus Solibacter",0.0163974021104835,0.0065820175926961,0.00248776881076084,7,100
"10 to 12","Puia",0.0154807931972809,0.00333039809628521,0.00125877216137337,7,100
"10 to 12","Aquisphaera",0.0153388348456243,0.00995231152309699,0.00376162018005101,7,85.7142857142857
"10 to 12","Alicyclobacillus",0.0144908954782059,0.0259868014234608,0.00982208770521379,7,71.4285714285714
"10 to 12","Acidipila-Silvibacterium",0.0144890650651655,0.0163930098717984,0.00619597533722935,7,71.4285714285714
"10 to 12","Burkholderia-Caballeronia-Paraburkholderia",0.0142787815283045,0.0171509512947223,0.00648245026771665,7,100
"10 to 12","IS-44",0.0142775584232335,0.0260218869181702,0.00983534877573191,7,71.4285714285714
"10 to 12","Paenibacillus",0.0141954491400657,0.0107574695456624,0.00406594130773912,7,100
"10 to 12","Pseudolabrys",0.0140421523709048,0.016043678567541,0.00606394051491007,7,85.7142857142857
"10 to 12","ADurb.Bin063-1",0.0121999016916057,0.00923039441033383,0.00348876115896914,7,85.7142857142857
"10 to 12","Candidatus Koribacter",0.0113854594310489,0.00809436306537285,0.003059381670349,7,85.7142857142857
"10 to 12","Anaeromyxobacter",0.0103971443095096,0.00260074072614555,0.000982987597991236,7,100
"10 to 12","Reyranella",0.0095931016943884,0.00505801289503257,0.00191174917834486,7,85.7142857142857
"10 to 12","Chthoniobacter",0.00944684362137606,0.00757393259442292,0.00286267744165847,7,100
"10 to 12","Mucilaginibacter",0.00940365745763977,0.00693232935285278,0.0026201742105774,7,100
"10 to 12","Sphingomonas",0.00863553492080934,0.00508377860182362,0.00192148770013385,7,100
"10 to 12","Massilia",0.00843951712142901,0.00441594406797138,0.00166906997248903,7,100
