"","Kingdom","Phylum","Class","Order","Family","Genus","Abundance","Prevalence","Total_Abundance","Percentage"
"134","Bacteria","Bdellovibrionota","Oligoflexia","Oligoflexales","Oligoflexaceae","Oligoflexus",78,5,776789,0.0100413368366442
"135","Bacteria","Bdellovibrionota","Oligoflexia","Silvanigrellales","Silvanigrellaceae","Silvanigrella",94,4,776789,0.0121010982390327
"136","Bacteria","Chloroflexi","Ktedonobacteria","Ktedonobacterales","Ktedonobacteraceae","1921-2",109,6,776789,0.014032124553772
"137","Bacteria","Chloroflexi","Ktedonobacteria","Ktedonobacterales","Ktedonobacteraceae","1921-3",127,9,776789,0.0163493561314591
"138","Bacteria","Chloroflexi","Ktedonobacteria","Ktedonobacterales","Ktedonobacteraceae","1959-1",2767,69,776789,0.35620998752557
"139","Bacteria","Chloroflexi","Ktedonobacteria","Ktedonobacterales","Ktedonobacteraceae","FCPS473",3168,56,776789,0.407832757672933
"140","Bacteria","Chloroflexi","Ktedonobacteria","Ktedonobacterales","Ktedonobacteraceae","G12-WMSP1",106,11,776789,0.0136459192908241
"141","Bacteria","Chloroflexi","Ktedonobacteria","Ktedonobacterales","Ktedonobacteraceae","HSB OF53-F07",6155,69,776789,0.792364464481346
"142","Bacteria","Chloroflexi","Ktedonobacteria","Ktedonobacterales","Ktedonobacteraceae","JG30a-KF-32",1594,48,776789,0.205203729712959
"143","Bacteria","Chloroflexi","Ktedonobacteria","Ktedonobacterales","Ktedonobacteraceae","Ktedonobacter",1397,58,776789,0.17984291744605
"144","Bacteria","Chloroflexi","Ktedonobacteria","Ktedonobacterales","Ktedonobacteraceae","Thermosporothrix",369,22,776789,0.047503247342586
"145","Bacteria","Cyanobacteria","Vampirivibrionia","Vampirovibrionales","Vampirovibrionaceae","Vampirovibrio",18,1,776789,0.00231723157768712
"146","Bacteria","Desulfobacterota","Desulfuromonadia","Geobacterales","Geobacteraceae","Citrifermentans",21,1,776789,0.00270343684063497
"147","Bacteria","Desulfobacterota","Desulfuromonadia","Geobacterales","Geobacteraceae","Geobacter",61,3,776789,0.00785284034660635
"148","Bacteria","Fibrobacterota","Fibrobacteria","Fibrobacterales","Fibrobacteraceae","possible genus 04",496,26,776789,0.0638526034740451
"149","Bacteria","Firmicutes","Bacilli","Alicyclobacillales","Alicyclobacillaceae","Acidibacillus",34,4,776789,0.00437699298007567
"150","Bacteria","Firmicutes","Bacilli","Alicyclobacillales","Alicyclobacillaceae","Alicyclobacillus",13681,65,776789,1.76122473412986
"151","Bacteria","Firmicutes","Bacilli","Alicyclobacillales","Alicyclobacillaceae","Tumebacillus",2348,55,776789,0.30226998580052
"152","Bacteria","Firmicutes","Bacilli","Bacillales","Bacillaceae","Bacillus",1144,32,776789,0.147272940270781
"153","Bacteria","Firmicutes","Bacilli","Bacillales","Bacillaceae","Falsibacillus",40,2,776789,0.00514940350597138
"154","Bacteria","Firmicutes","Bacilli","Bacillales","Bacillaceae","Fictibacillus",278,3,776789,0.0357883543665011
"155","Bacteria","Firmicutes","Bacilli","Bacillales","Bacillaceae","Oceanobacillus",9,1,776789,0.00115861578884356
"156","Bacteria","Firmicutes","Bacilli","Bacillales","Planococcaceae","Domibacillus",584,27,776789,0.0751812911871821
"157","Bacteria","Firmicutes","Bacilli","Bacillales","Planococcaceae","Jeotgalibacillus",36,1,776789,0.00463446315537424
"158","Bacteria","Firmicutes","Bacilli","Bacillales","Planococcaceae","Lysinibacillus",127,3,776789,0.0163493561314591
"159","Bacteria","Firmicutes","Bacilli","Bacillales","Planococcaceae","Paenisporosarcina",1466,26,776789,0.188725638493851
"160","Bacteria","Firmicutes","Bacilli","Bacillales","Planococcaceae","Psychrobacillus",339,10,776789,0.0436411947131074
"161","Bacteria","Firmicutes","Bacilli","Bacillales","Planococcaceae","Solibacillus",201,5,776789,0.0258757526175062
"162","Bacteria","Firmicutes","Bacilli","Bacillales","Planococcaceae","Viridibacillus",218,6,776789,0.028064249107544
"163","Bacteria","Firmicutes","Bacilli","Bacillales","Sporolactobacillaceae","Pullulanibacillus",523,19,776789,0.0673284508405757
"164","Bacteria","Firmicutes","Bacilli","Lactobacillales","Lactobacillaceae","Ligilactobacillus",10,1,776789,0.00128735087649284
"165","Bacteria","Firmicutes","Bacilli","Lactobacillales","Streptococcaceae","Streptococcus",14,1,776789,0.00180229122708998
"166","Bacteria","Firmicutes","Bacilli","Paenibacillales","Paenibacillaceae","Cohnella",197,11,776789,0.025360812266909
"167","Bacteria","Firmicutes","Bacilli","Paenibacillales","Paenibacillaceae","Oxalophagus",12,1,776789,0.00154482105179141
"168","Bacteria","Firmicutes","Bacilli","Paenibacillales","Paenibacillaceae","Paenibacillus",5502,73,776789,0.708300452246363
"169","Bacteria","Firmicutes","Bacilli","Thermoactinomycetales","Thermoactinomycetaceae","Polycladomyces",12,1,776789,0.00154482105179141
