"","YrSinceTrt_BR","Kingdom","Phylum","Class","Order","Family","Genus","Species","Raw_Abundance","Prevalence","Relative_Abundance","Percentage"
"905","1 to 2","Fungi","Ascomycota","Pezizomycetes","Pezizales","Tuberaceae","Tuber","Tuber_oregonense",19,1,0.000745887802771562,0.00355184667986458
"906","1 to 2","Fungi","Basidiomycota","Agaricomycetes","Russulales","Russulaceae","Russula","Russula_romellii",9,1,0.000741900915011128,0.00353286150005299
"907","1 to 2","Fungi","Mucoromycota","Mucoromycetes","Mucorales","Backusellaceae","Backusella","Backusella_lamprospora",17,1,0.000737367165473867,0.00351127221654222
"908","1 to 2","Fungi","Basidiomycota","Tremellomycetes","Tremellales","Cuniculitremaceae","Cuniculitrema","Cuniculitrema_polymorpha",16,1,0.000693992626328345,0.00330472679203974
"909","1 to 2","Fungi","Basidiomycota","Agaricomycetes","Polyporales","Fomitopsidaceae","Obba","Obba_thailandica",21,1,0.000689519306540583,0.00328342526924087
"910","1 to 2","Fungi","Ascomycota","Eurotiomycetes","Chaetothyriales","Herpotrichiellaceae","Exophiala","Exophiala_angulospora",22,1,0.000684420109507218,0.0032591433786058
"911","1 to 2","Fungi","Basidiomycota","Agaricomycetes","Agaricales","Bolbitiaceae","Conocybe","Conocybe_pilosella",14,2,0.000679042902625116,0.00323353763154817
"912","1 to 2","Fungi","Basidiomycota","Agaricomycetes","Thelephorales","Thelephoraceae","Tomentella","Tomentella_bryophila",20,2,0.000673671725397538,0.00320796059713114
"913","1 to 2","Fungi","Ascomycota","Sordariomycetes","Hypocreales","Hypocreales_fam_Incertae_sedis","Acremonium","Acremonium_cavaraeanum",29,1,0.000668603310739152,0.00318382528923406
"914","1 to 2","Fungi","Basidiomycota","Agaricomycetes","Agaricales","Hymenogastraceae","Hebeloma","Hebeloma_vesterholtii",7,1,0.00066711140760507,0.00317672098859557
"915","1 to 2","Fungi","Basidiomycota","Agaricomycetes","Agaricales","Pluteaceae","Pluteus","Pluteus_cervinus",7,1,0.00066711140760507,0.00317672098859557
"916","1 to 2","Fungi","Basidiomycota","Agaricomycetes","Atheliales","Pilodermataceae","Piloderma","Piloderma_bicolor",8,1,0.000659467480009892,0.00314032133338044
"917","1 to 2","Fungi","Glomeromycota","Glomeromycetes","Glomerales","Glomeraceae","Funneliformis","Funneliformis_mosseae",11,1,0.000643312474413708,0.00306339273530337
"918","1 to 2","Fungi","Ascomycota","Sordariomycetes","Xylariales","Xylariaceae","Virgaria","Virgaria_nigra",14,1,0.00063391442155309,0.00301864010263376
