"","Treatuntreat_EP","Kingdom","Phylum","Class","Order","Family","Genus","Abundance","Prevalence","Total_Abundance","Percentage"
"134","Untreated","Fungi","Ascomycota","Leotiomycetes","Helotiales","Chaetomellaceae","Pilidium",12,4,3169678,0.000378587351775165
"135","Untreated","Fungi","Ascomycota","Leotiomycetes","Helotiales","Chlorociboriaceae","Brahmaculus",118,5,3169678,0.00372277562578912
"136","Untreated","Fungi","Ascomycota","Leotiomycetes","Helotiales","Dermateaceae","Cryptosporiopsis",822,22,3169678,0.0259332335965988
"137","Untreated","Fungi","Ascomycota","Leotiomycetes","Helotiales","Dermateaceae","Dermateaceae_gen_Incertae_sedis",64,2,3169678,0.00201913254280088
"138","Untreated","Fungi","Ascomycota","Leotiomycetes","Helotiales","Dermateaceae","Pezicula",184,6,3169678,0.00580500606055252
"139","Untreated","Fungi","Ascomycota","Leotiomycetes","Helotiales","Dermateaceae","Rhizodermea",45,3,3169678,0.00141970256915687
"140","Untreated","Fungi","Ascomycota","Leotiomycetes","Helotiales","Dermateaceae","Trichosporiella",32,3,3169678,0.00100956627140044
"141","Untreated","Fungi","Ascomycota","Leotiomycetes","Helotiales","Gelatinodiscaceae","Neobulgaria",43,1,3169678,0.00135660467719434
"142","Untreated","Fungi","Ascomycota","Leotiomycetes","Helotiales","Hamatocanthoscyphaceae","Curviclavula",6,1,3169678,0.000189293675887582
"143","Untreated","Fungi","Ascomycota","Leotiomycetes","Helotiales","Hamatocanthoscyphaceae","Hyalodendriella",18,2,3169678,0.000567881027662747
"144","Untreated","Fungi","Ascomycota","Leotiomycetes","Helotiales","Hamatocanthoscyphaceae","Xenopolyscytalum",816,12,3169678,0.0257439399207112
"145","Untreated","Fungi","Ascomycota","Leotiomycetes","Helotiales","Helotiaceae","Ascocoryne",67,4,3169678,0.00211377938074467
"146","Untreated","Fungi","Ascomycota","Leotiomycetes","Helotiales","Helotiaceae","Bryoglossum",23,1,3169678,0.000725625757569065
"147","Untreated","Fungi","Ascomycota","Leotiomycetes","Helotiales","Helotiaceae","Crocicreas",20,1,3169678,0.000630978919625274
"148","Untreated","Fungi","Ascomycota","Leotiomycetes","Helotiales","Helotiaceae","Cudoniella",27,1,3169678,0.00085182154149412
"149","Untreated","Fungi","Ascomycota","Leotiomycetes","Helotiales","Helotiaceae","Cyathicula",161,9,3169678,0.00507938030298346
"150","Untreated","Fungi","Ascomycota","Leotiomycetes","Helotiales","Helotiaceae","Helotium",4,1,3169678,0.000126195783925055
"151","Untreated","Fungi","Ascomycota","Leotiomycetes","Helotiales","Helotiaceae","Hymenoscyphus",152,2,3169678,0.00479543978915208
"152","Untreated","Fungi","Ascomycota","Leotiomycetes","Helotiales","Helotiaceae","Phaeohelotium",120,1,3169678,0.00378587351775165
"153","Untreated","Fungi","Ascomycota","Leotiomycetes","Helotiales","Helotiaceae","Scytalidium",15,1,3169678,0.000473234189718956
"154","Untreated","Fungi","Ascomycota","Leotiomycetes","Helotiales","Helotiaceae","Tetracladium",20,2,3169678,0.000630978919625274
"155","Untreated","Fungi","Ascomycota","Leotiomycetes","Helotiales","Helotiales_fam_Incertae_sedis","Acidomelania",47,1,3169678,0.00148280046111939
"156","Untreated","Fungi","Ascomycota","Leotiomycetes","Helotiales","Helotiales_fam_Incertae_sedis","Chalara",1258,12,3169678,0.0396885740444297
"157","Untreated","Fungi","Ascomycota","Leotiomycetes","Helotiales","Helotiales_fam_Incertae_sedis","Humicolopsis",81,6,3169678,0.00255546462448236
"158","Untreated","Fungi","Ascomycota","Leotiomycetes","Helotiales","Helotiales_fam_Incertae_sedis","Leohumicola",342,3,3169678,0.0107897395255922
"159","Untreated","Fungi","Ascomycota","Leotiomycetes","Helotiales","Helotiales_fam_Incertae_sedis","Mycoarthris",658,6,3169678,0.0207592064556715
"160","Untreated","Fungi","Ascomycota","Leotiomycetes","Helotiales","Helotiales_fam_Incertae_sedis","Xenochalara",70,2,3169678,0.00220842621868846
"161","Untreated","Fungi","Ascomycota","Leotiomycetes","Helotiales","Hyaloscyphaceae","Arachnopeziza",228,3,3169678,0.00719315968372813
"162","Untreated","Fungi","Ascomycota","Leotiomycetes","Helotiales","Hyaloscyphaceae","Gemmina",38,3,3169678,0.00119885994728802
"163","Untreated","Fungi","Ascomycota","Leotiomycetes","Helotiales","Hyaloscyphaceae","Glutinomyces",14,1,3169678,0.000441685243737692
"164","Untreated","Fungi","Ascomycota","Leotiomycetes","Helotiales","Hyaloscyphaceae","Hyalopeziza",68,4,3169678,0.00214532832672593
"165","Untreated","Fungi","Ascomycota","Leotiomycetes","Helotiales","Hyaloscyphaceae","Hyaloscypha",548,11,3169678,0.0172888223977325
"166","Untreated","Fungi","Ascomycota","Leotiomycetes","Helotiales","Hyaloscyphaceae","Hyaloscyphaceae_gen_Incertae_sedis",42,1,3169678,0.00132505573121308
"167","Untreated","Fungi","Ascomycota","Leotiomycetes","Helotiales","Hyaloscyphaceae","Hyphodiscus",445,11,3169678,0.0140392809616623
"168","Untreated","Fungi","Ascomycota","Leotiomycetes","Helotiales","Hyaloscyphaceae","Lachnellula",26,1,3169678,0.000820272595512857
"169","Untreated","Fungi","Ascomycota","Leotiomycetes","Helotiales","Hyaloscyphaceae","Pezizella",779,18,3169678,0.0245766289194044
"170","Untreated","Fungi","Ascomycota","Leotiomycetes","Helotiales","Hyaloscyphaceae","Phialea",92,9,3169678,0.00290250303027626
"171","Untreated","Fungi","Ascomycota","Leotiomycetes","Helotiales","Lachnaceae","Pezizellaster",12,1,3169678,0.000378587351775165
"172","Untreated","Fungi","Ascomycota","Leotiomycetes","Helotiales","Leotiaceae","Flagellospora",1313,3,3169678,0.0414237660733993
"173","Untreated","Fungi","Ascomycota","Leotiomycetes","Helotiales","Leotiaceae","Leotia",87,3,3169678,0.00274475830036994
"174","Untreated","Fungi","Ascomycota","Leotiomycetes","Helotiales","Leptodontidiaceae","Leptodontidium",963,11,3169678,0.030381634979957
