"","Treatuntreat_EP","Kingdom","Phylum","Class","Order","Family","Genus","Raw_Abundance","Prevalence","Relative_Abundance","Percentage"
"987","Treated","Fungi","Ascomycota","Eurotiomycetes","Chaetothyriales","Herpotrichiellaceae","Fonsecaea",74,4,0.00162729096213342,0.00417254092854723
"988","Treated","Fungi","Ascomycota","Sordariomycetes","Atractosporales","Atractosporales_fam_Incertae_sedis","Atractosporales_gen_Incertae_sedis",42,3,0.00162396860421656,0.00416402206209374
"989","Treated","Fungi","Glomeromycota","Glomeromycetes","Diversisporales","Diversisporaceae","Diversisporaceae_gen_Incertae_sedis",114,1,0.00161711302768951,0.00414644366074235
"990","Treated","Fungi","Ascomycota","Sordariomycetes","Microascales","Halosphaeriaceae","Halosarpheia",37,1,0.00161241120843683,0.0041343877139406
"991","Treated","Fungi","Ascomycota","Sordariomycetes","Hypocreales","Clavicipitaceae","Marquandomyces",48,2,0.00160909258372579,0.00412587841980972
"992","Treated","Fungi","Ascomycota","Dothideomycetes","Dothideales","Dothioraceae","Dothiora",77,2,0.0015933164546061,0.00408542680668232
"993","Treated","Fungi","Basidiomycota","Agaricomycetes","Agaricales","Tricholomataceae","Mycenella",48,2,0.00159326224799485,0.00408528781537141
"994","Treated","Fungi","Basidiomycota","Tremellomycetes","Tremellales","Tremellaceae","Tremella",39,2,0.00159195162151628,0.00408192723465712
"995","Treated","Fungi","Ascomycota","Dothideomycetes","Venturiales","Sympoventuriaceae","Sympoventuriaceae_gen_Incertae_sedis",35,2,0.00155878489140415,0.00399688433693371
"996","Treated","Fungi","Ascomycota","Orbiliomycetes","Orbiliales","Orbiliaceae","Orbilia",76,1,0.00155724940578641,0.00399294719432413
"997","Treated","Fungi","Ascomycota","Dothideomycetes","Pleosporales","Didymellaceae","Chaetasbolisia",28,1,0.00153323841857409,0.00393138056044638
"998","Treated","Fungi","Ascomycota","Leotiomycetes","Helotiales","Hyaloscyphaceae","Phialea",57,6,0.00152075010881825,0.00389935925338013
"999","Treated","Fungi","Ascomycota","Orbiliomycetes","Orbiliales","Orbiliales_fam_Incertae_sedis","Bryorbilia",23,2,0.00151913092410157,0.00389520749769632
"1000","Treated","Fungi","Ascomycota","Eurotiomycetes","Onygenales","Onygenaceae","Aphanoascus",53,2,0.00151219159479481,0.00387741434562773
"1001","Treated","Fungi","Basidiomycota","Basidiomycota_cls_Incertae_sedis","Basidiomycota_ord_Incertae_sedis","Basidiomycota_fam_Incertae_sedis","Basidiomycota_gen_Incertae_sedis",104,2,0.00149795808803845,0.00384091817445756
"1002","Treated","Fungi","Basidiomycota","Agaricomycetes","Russulales","Albatrellaceae","Albatrellaceae_gen_Incertae_sedis",59,1,0.00149765198629268,0.00384013329818635
"1003","Treated","Fungi","Basidiomycota","Agaricomycetes","Gomphales","Gomphaceae","Ramaria",59,5,0.00149664125747341,0.00383754168582926
"1004","Treated","Fungi","Mucoromycota","Mucoromycetes","Mucorales","Cunninghamellaceae","Gongronella",27,1,0.00149105367793241,0.00382321455880104
"1005","Treated","Fungi","Ascomycota","Dothideomycetes","Mycosphaerellales","Extremaceae","Extremopsis",63,2,0.00148559223043385,0.0038092108472663
"1006","Treated","Fungi","Ascomycota","Sordariomycetes","Hypocreales","Cordycipitaceae","Leptobacillium",57,2,0.0014802925721652,0.00379562197991077
"1007","Treated","Fungi","Basidiomycota","Agaricostilbomycetes","Agaricostilbales","Agaricostilbales_fam_Incertae_sedis","Agaricostilbales_gen_Incertae_sedis",57,6,0.00147736901044317,0.003788125667803
"1008","Treated","Fungi","Ascomycota","Leotiomycetes","Helotiales","Dermateaceae","Rhizodermea",54,5,0.00146776285701832,0.00376349450517519
"1009","Treated","Fungi","Ascomycota","Eurotiomycetes","Verrucariales","Verrucariales_fam_Incertae_sedis","Verrucariales_gen_Incertae_sedis",43,3,0.0014599739292351,0.00374352289547462
"1010","Treated","Fungi","Kickxellomycota","GS19","GS19_ord_Incertae_sedis","GS19_fam_Incertae_sedis","GS19_gen_Incertae_sedis",65,4,0.00145718900139646,0.00373638205486272
"1011","Treated","Fungi","Basidiomycota","Agaricomycetes","Agaricales","Agaricaceae","Cystolepiota",37,2,0.00145529848589397,0.00373153457921531
"1012","Treated","Fungi","Basidiomycota","Agaricomycetes","Boletales","Boletales_fam_Incertae_sedis","Chalciporus",41,4,0.0014497118207614,0.00371720979682409
"1013","Treated","Fungi","Basidiomycota","Agaricomycetes","Agaricales","Schizophyllaceae","Schizophyllum",62,2,0.00144527308113961,0.00370582841317849
"1014","Treated","Fungi","Ascomycota","Leotiomycetes","Helotiales","Vibrisseaceae","Srinivasanomyces",42,5,0.00144063788864003,0.00369394330420521
"1015","Treated","Fungi","Basidiomycota","Tremellomycetes","Cystofilobasidiales","Mrakiaceae","Tausonia",47,3,0.00142099030361014,0.00364356488105165
"1016","Treated","Fungi","Basidiomycota","Tritirachiomycetes","Tritirachiales","Tritirachiaceae","Tritirachiaceae_gen_Incertae_sedis",74,3,0.00141857620720337,0.00363737489026505
"1017","Treated","Fungi","Entomophthoromycota","Entomophthoromycetes","Entomophthorales","Ancylistaceae","Conidiobolus",43,4,0.0013986930593723,0.00358639245992899
"1018","Treated","Fungi","Chytridiomycota","Chytridiomycetes","Chytridiales","Chytridiaceae","Dendrochytridium",77,3,0.00139156209925311,0.00356810794680284
"1019","Treated","Fungi","Basidiomycota","Agaricomycetes","Agaricales","Inocybaceae","Inosperma",61,2,0.00138671313606142,0.0035556747078498
"1020","Treated","Fungi","Ascomycota","Leotiomycetes","Helotiales","Helotiaceae","Hymenoscyphus",47,1,0.00133819258584363,0.0034312630406247
"1021","Treated","Fungi","Basidiomycota","Agaricomycetes","Thelephorales","Thelephoraceae","Polyozellus",27,1,0.00130801278945839,0.0033538789473292
"1022","Treated","Fungi","Ascomycota","Dothideomycetes","Pleosporales","Didymosphaeriaceae","Paraphaeosphaeria",45,1,0.00129095186183946,0.00331013297907555
"1023","Treated","Fungi","Ascomycota","Pezizomycetes","Pezizales","Pulvinulaceae","Pulvinulaceae_gen_Incertae_sedis",21,2,0.0012648598484453,0.00324323038062898
"1024","Treated","Fungi","Ascomycota","Pezizomycetes","Pezizales","Pezizaceae","Plicaria",23,1,0.00125944584382872,0.00322934831750953
"1025","Treated","Fungi","Basidiomycota","Tremellomycetes","Trichosporonales","Tetragoniomycetaceae","Tetragoniomycetaceae_gen_Incertae_sedis",70,1,0.00124875124875125,0.00320192627884936
"1026","Treated","Fungi","Ascomycota","Dothideomycetes","Capnodiales","Dissoconiaceae","Ramichloridium",29,2,0.00121139636022038,0.0031061445133856
"1027","Treated","Fungi","Ascomycota","Sordariomycetes","Hypocreales","Ophiocordycipitaceae","Tolypocladium",77,1,0.001208772232775,0.00309941598147435
"1028","Treated","Fungi","Basidiomycota","Agaricomycetes","Russulales","Bondarzewiaceae","Bondarzewia",22,1,0.00120468732887964,0.00308894186892216
"1029","Treated","Fungi","Ascomycota","Leotiomycetes","Helotiales","Helotiaceae","Scytalidium",32,2,0.00119262861325014,0.00305802208525677
"1030","Treated","Fungi","Mucoromycota","Mucoromycetes","Mucorales","Cunninghamellaceae","Cunninghamella",24,2,0.00118301591157123,0.00303337413223393
"1031","Treated","Fungi","Ascomycota","Eurotiomycetes","Eurotiales","Elaphomycetaceae","Elaphomyces",30,2,0.0011829916054846,0.00303331180893486
"1032","Treated","Fungi","Basidiomycota","Tremellomycetes","Trichosporonales","Trichosporonaceae","Vanrija",35,1,0.00115454395513772,0.00296036911573775
"1033","Treated","Fungi","Ascomycota","Dothideomycetes","Pleosporales","Phaeosphaeriaceae","Paraloratospora",17,1,0.00114647963312652,0.00293969136699107
"1034","Treated","Fungi","Basidiomycota","Tremellomycetes","Cystofilobasidiales","Cystofilobasidiaceae","Cystofilobasidium",27,4,0.00110108240244367,0.00282328821139403
"1035","Treated","Fungi","Ascomycota","Dothideomycetes","Mycosphaerellales","Teratosphaeriaceae","Devriesia",52,2,0.0010881127199353,0.00279003261521872
"1036","Treated","Fungi","Basidiomycota","Agaricomycetes","Polyporales","Polyporaceae","Trametes",11,1,0.00108182533438238,0.00277391111380097
"1037","Treated","Fungi","Ascomycota","Sordariomycetes","Amphisphaeriales","Amphisphaeriales_fam_Incertae_sedis","Amphisphaeriales_gen_Incertae_sedis",19,3,0.00107218853354334,0.00274920136805985
"1038","Treated","Fungi","Ascomycota","Dothideomycetes","Patellariales","Patellariales_fam_Incertae_sedis","Patellariales_gen_Incertae_sedis",33,4,0.00106240789742255,0.00272412281390397
"1039","Treated","Fungi","Ascomycota","Dothideomycetes","Pleosporales","Cucurbitariaceae","Neocucurbitaria",43,3,0.00106034178634212,0.00271882509318493
"1040","Treated","Fungi","Ascomycota","Dothideomycetes","Pleosporales","Phaeosphaeriaceae","Jeremyomyces",36,3,0.00105895195000532,0.00271526141027006
"1041","Treated","Fungi","Chytridiomycota","Rhizophydiomycetes","Rhizophydiales","Rhizophydiales_fam_Incertae_sedis","Coralloidiomyces",46,1,0.00104490834336597,0.00267925216247684
"1042","Treated","Fungi","Basidiomycota","Agaricomycetes","Agaricales","Omphalotaceae","Gymnopus",61,1,0.00104060047765268,0.00266820635295559
"1043","Treated","Fungi","Chytridiomycota","Spizellomycetes","Spizellomycetales","Powellomycetaceae","Powellomycetaceae_gen_Incertae_sedis",10,1,0.00102103328568511,0.00261803406585927
"1044","Treated","Fungi","Basidiomycota","Microbotryomycetes","Kriegeriales","Kriegeriales_fam_Incertae_sedis","Kriegeriales_gen_Incertae_sedis",64,2,0.00101830063924918,0.0026110272801261
"1045","Treated","Fungi","Basidiomycota","Agaricomycetes","Agaricales","Tricholomataceae","Clitocybe",18,1,0.00099403578528827,0.00254880970586736
