YrSinceTrt_BR,Kingdom,Phylum,Class,Order,Family,Genus,Mean_Relative_Abundance,Standard_Deviation,Standard_Error,Sample_Size,Prevalence_Percent
5-8 PT,Fungi,Ascomycota,Eurotiomycetes,Chaetothyriales,Herpotrichiellaceae,Exophiala,0.018787127465544663,0.04148381962299652,0.01567941002221572,7,100
5-8 PT,Fungi,Ascomycota,Pezizomycetes,Pezizales,Pyronemataceae,Scutellinia,0.017745967259524344,0.03738399262250582,0.014129821070546252,7,42.857142857142854
5-8 PT,Fungi,Ascomycota,Saccharomycetes,Saccharomycetales,Saccharomycetales_fam_Incertae_sedis,Saccharomycetales_gen_Incertae_sedis,0.01681547385729145,0.017828553897236643,0.006738559978285652,7,100
5-8 PT,Fungi,Basidiomycota,Agaricomycetes,Thelephorales,Thelephoraceae,Tomentella,0.014135263671477445,0.02526088361511926,0.009547716563335973,7,71.42857142857143
5-8 PT,Fungi,Basidiomycota,Agaricomycetes,Russulales,Russulaceae,Lactarius,0.013983312001105188,0.0338916969600111,0.012809857380879022,7,28.57142857142857
5-8 PT,Fungi,Basidiomycota,Agaricomycetes,Boletales,Rhizopogonaceae,Rhizopogon,0.01112928886892682,0.01258107168290743,0.004755198128521418,7,100
10-12 PT,Other,Other,Other,Other,Other,Other,0.2558205858453963,NA,NA,NA,NA
10-12 PT,Fungi,Basidiomycota,Agaricomycetes,Russulales,Russulaceae,Russula,0.15554236647659914,0.17734018857973494,0.06702829091989648,7,85.71428571428571
10-12 PT,Fungi,Basidiomycota,Agaricomycetes,Agaricales,Inocybaceae,Inocybe,0.1341995602324739,0.18566534516043276,0.07017490433963924,7,85.71428571428571
10-12 PT,Fungi,Ascomycota,Pezizomycetes,Pezizales,Tuberaceae,Tuber,0.05064340636676013,0.07936336285767975,0.029996531618743005,7,100
10-12 PT,Fungi,Basidiomycota,Agaricomycetes,Agaricales,Hymenogastraceae,Phaeocollybia,0.04913709107749308,0.1291805622526899,0.048825663134873604,7,28.57142857142857
10-12 PT,Fungi,Basidiomycota,Tremellomycetes,Tremellales,Trimorphomycetaceae,Saitozyma,0.03723775676392424,0.02970742344404873,0.011228350646491839,7,100
10-12 PT,Fungi,Mucoromycota,Umbelopsidomycetes,Umbelopsidales,Umbelopsidaceae,Umbelopsis,0.031228749527304145,0.014167162521386485,0.005354684116431917,7,100
10-12 PT,Fungi,Mortierellomycota,Mortierellomycetes,Mortierellales,Mortierellaceae,Mortierella,0.02701387431632173,0.011479401803986714,0.00433880605330501,7,100
10-12 PT,Fungi,Basidiomycota,Agaricomycetes,Agaricales,Psathyrellaceae,Psathyrella,0.025550473977215105,0.06704822922951789,0.025341848626936593,7,71.42857142857143
10-12 PT,Fungi,Basidiomycota,Agaricomycetes,Thelephorales,Thelephoraceae,Thelephora,0.024134247249240993,0.06234972385356608,0.023565980518583947,7,28.57142857142857
10-12 PT,Fungi,Basidiomycota,Geminibasidiomycetes,Geminibasidiales,Geminibasidiaceae,Geminibasidium,0.023132230054487574,0.01649564298225855,0.00623476700673771,7,100
10-12 PT,Fungi,Ascomycota,Eurotiomycetes,Chaetothyriales,Herpotrichiellaceae,Cladophialophora,0.020103320205267367,0.024273921664214708,0.009174680009682176,7,100
10-12 PT,Fungi,Basidiomycota,Agaricomycetes,Russulales,Russulaceae,Lactarius,0.018404443379714874,0.029426347082419986,0.011122113767593481,7,57.14285714285714
10-12 PT,Fungi,Basidiomycota,Agaricomycetes,Sebacinales,Sebacinaceae,Sebacina,0.018323688682622404,0.026638645049714787,0.01006846143789531,7,71.42857142857143
10-12 PT,Fungi,Ascomycota,Geoglossomycetes,Geoglossales,Geoglossaceae,Geoglossum,0.01692202263097605,0.03301824617197482,0.012479724014079395,7,42.857142857142854
10-12 PT,Fungi,Basidiomycota,Agaricomycetes,Atheliales,Pilodermataceae,Piloderma,0.016678513505392782,0.04367052230552682,0.016505905949246148,7,42.857142857142854
10-12 PT,Fungi,Basidiomycota,Agaricomycetes,Thelephorales,Thelephoraceae,Tomentella,0.016176063344860256,0.016474540798835237,0.006226791131100773,7,85.71428571428571
10-12 PT,Fungi,Ascomycota,Pezizomycetes,Pezizales,Pyronemataceae,Wilcoxina,0.0156556573035884,0.03716702294650097,0.014047814241296093,7,57.14285714285714
10-12 PT,Fungi,Basidiomycota,Agaricomycetes,Boletales,Rhizopogonaceae,Rhizopogon,0.014123185829183251,0.012674868394397583,0.004790649953149792,7,100
10-12 PT,Fungi,Ascomycota,Leotiomycetes,Helotiales,Myxotrichaceae,Oidiodendron,0.013786290443129054,0.009399084563171012,0.003552520043688094,7,100
10-12 PT,Fungi,Mortierellomycota,Mortierellomycetes,Mortierellales,Mortierellaceae,Podila,0.013760819138729412,0.01669436292532965,0.006309876085297002,7,85.71428571428571
10-12 PT,Fungi,Ascomycota,Saccharomycetes,Saccharomycetales,Saccharomycetales_fam_Incertae_sedis,Saccharomycetales_gen_Incertae_sedis,0.011368175281707511,0.007223511772797264,0.0027302308204812664,7,100
10-12 PT,Fungi,Basidiomycota,Agaricomycetes,Agaricales,Mycenaceae,Mycena,0.01105747836761249,0.028467250809860425,0.010759609450370392,7,42.857142857142854
