"","Kingdom","Phylum","Class","Order","Family","Abundance","Prevalence","Total_Abundance","Percentage"
"158","Fungi","Ascomycota","Sareomycetes","Sareales","Sareales_fam_Incertae_sedis",836,21,3785746,0.0220828338721087
"159","Fungi","Ascomycota","Sordariomycetes","Amphisphaeriales","Amphisphaeriales_fam_Incertae_sedis",46,6,3785746,0.00121508416042703
"160","Fungi","Ascomycota","Sordariomycetes","Amphisphaeriales","Pestalotiopsidaceae",727,35,3785746,0.0192036127093577
"161","Fungi","Ascomycota","Sordariomycetes","Annulatascales","Annulatascaceae",9,1,3785746,0.000237733857474854
"162","Fungi","Ascomycota","Sordariomycetes","Annulatascales","Annulatascales_fam_Incertae_sedis",128,2,3785746,0.00338110375075348
"163","Fungi","Ascomycota","Sordariomycetes","Atractosporales","Atractosporales_fam_Incertae_sedis",157,9,3785746,0.00414713506928357
"164","Fungi","Ascomycota","Sordariomycetes","Atractosporales","Conlariaceae",45,3,3785746,0.00118866928737427
"165","Fungi","Ascomycota","Sordariomycetes","Chaetosphaeriales","Chaetosphaeriaceae",5386,55,3785746,0.142270506262174
"166","Fungi","Ascomycota","Sordariomycetes","Coniochaetales","Coniochaetaceae",305,2,3785746,0.00805653628109229
"167","Fungi","Ascomycota","Sordariomycetes","Cordanales","Cordanaceae",9,1,3785746,0.000237733857474854
"168","Fungi","Ascomycota","Sordariomycetes","Diaporthales","Coryneaceae",24,2,3785746,0.000633956953266278
"169","Fungi","Ascomycota","Sordariomycetes","Diaporthales","Valsaceae",14,1,3785746,0.000369808222738662
"170","Fungi","Ascomycota","Sordariomycetes","Glomerellales","Glomerellaceae",88,4,3785746,0.00232450882864302
"171","Fungi","Ascomycota","Sordariomycetes","Glomerellales","Glomerellales_fam_Incertae_sedis",628,6,3785746,0.0165885402771343
"172","Fungi","Ascomycota","Sordariomycetes","Glomerellales","Plectosphaerellaceae",988,28,3785746,0.0260978945761285
"173","Fungi","Ascomycota","Sordariomycetes","Glomerellales","Reticulascaceae",296,18,3785746,0.00781880242361743
"174","Fungi","Ascomycota","Sordariomycetes","Hypocreales","Bionectriaceae",37,4,3785746,0.000977350302952179
"175","Fungi","Ascomycota","Sordariomycetes","Hypocreales","Clavicipitaceae",17279,82,3785746,0.456422591478668
"176","Fungi","Ascomycota","Sordariomycetes","Hypocreales","Cordycipitaceae",172,7,3785746,0.00454335816507499
"177","Fungi","Ascomycota","Sordariomycetes","Hypocreales","Cylindriaceae",153,6,3785746,0.00404147557707252
"178","Fungi","Ascomycota","Sordariomycetes","Hypocreales","Hypocreaceae",2868,36,3785746,0.0757578559153202
"179","Fungi","Ascomycota","Sordariomycetes","Hypocreales","Hypocreales_fam_Incertae_sedis",1098,16,3785746,0.0290035306119322
"180","Fungi","Ascomycota","Sordariomycetes","Hypocreales","Nectriaceae",853,12,3785746,0.0225318867140056
"181","Fungi","Ascomycota","Sordariomycetes","Hypocreales","Ophiocordycipitaceae",135,4,3785746,0.00356600786212282
"182","Fungi","Ascomycota","Sordariomycetes","Microascales","Halosphaeriaceae",213,4,3785746,0.00562636796023822
"183","Fungi","Ascomycota","Sordariomycetes","Microascales","Microascaceae",207,2,3785746,0.00546787872192165
"184","Fungi","Ascomycota","Sordariomycetes","Myrmecridiales","Myrmecridiaceae",30,1,3785746,0.000792446191582848
"185","Fungi","Ascomycota","Sordariomycetes","Myrmecridiales","Myrmecridiales_fam_Incertae_sedis",8,2,3785746,0.000211318984422093
"186","Fungi","Ascomycota","Sordariomycetes","Ophiostomatales","Ophiostomataceae",8,1,3785746,0.000211318984422093
"187","Fungi","Ascomycota","Sordariomycetes","Savoryellales","Savoryellales_fam_Incertae_sedis",8,1,3785746,0.000211318984422093
"188","Fungi","Ascomycota","Sordariomycetes","Sordariales","Chaetomiaceae",254,2,3785746,0.00670937775540145
"189","Fungi","Ascomycota","Sordariomycetes","Sordariales","Helminthosphaeriaceae",546,18,3785746,0.0144225206868078
"190","Fungi","Ascomycota","Sordariomycetes","Sordariales","Lasiosphaeriaceae",214,2,3785746,0.00565278283329098
"191","Fungi","Ascomycota","Sordariomycetes","Sordariales","Sordariales_fam_Incertae_sedis",118,6,3785746,0.00311695502022587
"192","Fungi","Ascomycota","Sordariomycetes","Xenospadicoidales","Xenospadicoidaceae",19,2,3785746,0.00050188258800247
"193","Fungi","Ascomycota","Sordariomycetes","Xylariales","Amphisphaeriaceae",902,11,3785746,0.023826215493591
"194","Fungi","Ascomycota","Sordariomycetes","Xylariales","Bartaliniaceae",296,9,3785746,0.00781880242361743
"195","Fungi","Ascomycota","Sordariomycetes","Xylariales","Castanediellaceae",154,4,3785746,0.00406789045012529
"196","Fungi","Ascomycota","Sordariomycetes","Xylariales","Diatrypaceae",131,1,3785746,0.00346034836991177
"197","Fungi","Ascomycota","Sordariomycetes","Xylariales","Graphostromataceae",530,12,3785746,0.0139998827179636
"198","Fungi","Ascomycota","Sordariomycetes","Xylariales","Hypoxylaceae",32,4,3785746,0.000845275937688371
"199","Fungi","Ascomycota","Sordariomycetes","Xylariales","Microdochiaceae",821,15,3785746,0.0216866107763173
"200","Fungi","Ascomycota","Sordariomycetes","Xylariales","Sporocadaceae",48,3,3785746,0.00126791390653256
"201","Fungi","Ascomycota","Sordariomycetes","Xylariales","Xylariaceae",883,45,3785746,0.0233243329055885
"202","Fungi","Ascomycota","Sordariomycetes","Xylariales","Xylariales_fam_Incertae_sedis",209,14,3785746,0.00552070846802717
"203","Fungi","Ascomycota","Taphrinomycetes","Taphrinales","Protomycetaceae",26,2,3785746,0.000686786699371801
"204","Fungi","Ascomycota","Taphrinomycetes","Taphrinales","Taphrinaceae",78,3,3785746,0.0020603600981154
"205","Fungi","Basidiobolomycota","Basidiobolomycetes","Basidiobolales","Basidiobolaceae",362,10,3785746,0.0095621840450997
"206","Fungi","Basidiomycota","Agaricomycetes","Agaricales","Agaricaceae",27588,64,3785746,0.728733517779587
"207","Fungi","Basidiomycota","Agaricomycetes","Agaricales","Agaricales_fam_Incertae_sedis",859,9,3785746,0.0226903759523222
"208","Fungi","Basidiomycota","Agaricomycetes","Agaricales","Amanitaceae",85752,52,3785746,2.26512819402041
"209","Fungi","Basidiomycota","Agaricomycetes","Agaricales","Bolbitiaceae",417,9,3785746,0.0110150020630016
"210","Fungi","Basidiomycota","Agaricomycetes","Agaricales","Callistosporiaceae",141,1,3785746,0.00372449710043939
"211","Fungi","Basidiomycota","Agaricomycetes","Agaricales","Chromocyphellaceae",25,3,3785746,0.00066037182631904
"212","Fungi","Basidiomycota","Agaricomycetes","Agaricales","Clavariaceae",19933,46,3785746,0.526527664560697
"213","Fungi","Basidiomycota","Agaricomycetes","Agaricales","Cortinariaceae",30923,65,3785746,0.816827119410547
"214","Fungi","Basidiomycota","Agaricomycetes","Agaricales","Crassisporiaceae",16,1,3785746,0.000422637968844186
"215","Fungi","Basidiomycota","Agaricomycetes","Agaricales","Crepidotaceae",487,24,3785746,0.0128640431766949
"216","Fungi","Basidiomycota","Agaricomycetes","Agaricales","Cyphellaceae",1387,15,3785746,0.0366374289241803
"217","Fungi","Basidiomycota","Agaricomycetes","Agaricales","Cystostereaceae",30,2,3785746,0.000792446191582848
"218","Fungi","Basidiomycota","Agaricomycetes","Agaricales","Entolomataceae",3888,46,3785746,0.102701026429137
"219","Fungi","Basidiomycota","Agaricomycetes","Agaricales","Hebelomataceae",6369,5,3785746,0.168236326473039
"220","Fungi","Basidiomycota","Agaricomycetes","Agaricales","Hydnangiaceae",10491,21,3785746,0.277118433196522
"221","Fungi","Basidiomycota","Agaricomycetes","Agaricales","Hygrophoraceae",30916,18,3785746,0.816642215299177
"222","Fungi","Basidiomycota","Agaricomycetes","Agaricales","Hymenogastraceae",39176,58,3785746,1.03482906671499
"223","Fungi","Basidiomycota","Agaricomycetes","Agaricales","Inocybaceae",174693,87,3785746,4.61449341820608
"224","Fungi","Basidiomycota","Agaricomycetes","Agaricales","Lycoperdaceae",696,35,3785746,0.0183847516447221
"225","Fungi","Basidiomycota","Agaricomycetes","Agaricales","Lyophyllaceae",41847,38,3785746,1.10538319263891
"226","Fungi","Basidiomycota","Agaricomycetes","Agaricales","Marasmiaceae",852,2,3785746,0.0225054718409529
